84003,2003,9,3,49
84006,2003,1,\N,1
84010,2003,11,8,65
84014,2003,1,\N,6
84015,2003,1,1,1
84020,2003,4,5,9
84025,2003,1,\N,3
84026,2003,1,\N,2
84029,2003,1,\N,1
84032,2003,7,1,10
84037,2003,1,1,10
84040,2003,6,3,12
84041,2003,10,9,83
84043,2003,1,\N,1
84044,2003,2,4,5
84047,2003,6,5,29
84048,2003,1,\N,\N
84052,2003,1,\N,\N
84054,2003,1,\N,\N
84057,2003,6,3,42
84058,2003,3,1,8
84060,2003,6,2,16
84062,2003,6,\N,14
84064,2003,1,\N,\N
84065,2003,5,1,3
84066,2003,2,\N,12
84067,2003,2,2,9
84068,2003,1,\N,4
84070,2003,1,\N,15
84074,2003,5,6,26
84075,2003,1,\N,2
84078,2003,4,\N,10
84083,2003,1,\N,\N
84084,2003,2,\N,\N
84088,2003,15,4,61
84089,2003,1,\N,\N
84091,2003,1,\N,\N
84092,2003,1,1,3
84093,2003,4,1,5
84094,2003,6,2,61
84095,2003,3,2,8
84097,2003,1,2,2
84098,2003,5,\N,8
84100,2003,1,\N,\N
84101,2003,1,2,4
84102,2003,15,6,123
84103,2003,15,8,58
84104,2003,5,1,5
84105,2003,9,1,29
84106,2003,8,1,15
84107,2003,16,3,155
84108,2003,13,5,46
84109,2003,10,4,15
84110,2003,1,\N,2
84111,2003,10,3,11
84112,2003,23,2,46
84113,2003,28,2,96
84114,2003,2,\N,3
84115,2003,4,3,13
84116,2003,4,1,11
84117,2003,13,3,32
84118,2003,2,6,23
84119,2003,4,1,17
84120,2003,12,7,55
84121,2003,10,3,44
84122,2003,1,\N,\N
84123,2003,15,\N,23
84124,2003,22,16,137
84132,2003,31,9,264
84134,2003,1,\N,1
84142,2003,1,\N,\N
84143,2003,11,2,72
84148,2003,23,9,46
84190,2003,2,\N,\N
84302,2003,1,\N,21
84321,2003,8,4,20
84322,2003,1,\N,2
84335,2003,1,\N,2
84337,2003,2,\N,4
84341,2003,5,5,62
84401,2003,5,\N,12
84403,2003,19,14,133
84404,2003,2,3,5
84405,2003,6,4,70
84408,2003,1,\N,2
84410,2003,1,\N,\N
84414,2003,1,1,7
84501,2003,2,2,27
84511,2003,2,1,1
84513,2003,1,1,1
84518,2003,1,\N,\N
84520,2003,1,1,\N
84532,2003,4,1,10
84535,2003,1,\N,2
84601,2003,7,2,23
84602,2003,4,\N,10
84603,2003,4,\N,11
84604,2003,23,9,133
84606,2003,1,1,5
84624,2003,3,\N,4
84627,2003,1,\N,4
84634,2003,1,1,8
84647,2003,1,\N,2
84648,2003,3,\N,7
84651,2003,4,1,29
84653,2003,4,\N,\N
84654,2003,1,\N,1
84660,2003,2,\N,9
84701,2003,1,3,8
84720,2003,10,1,23
84737,2003,1,1,2
84741,2003,1,\N,4
84746,2003,1,\N,\N
84759,2003,3,1,3
84761,2003,1,1,\N
84765,2003,1,\N,2
84767,2003,1,\N,\N
84770,2003,6,5,48
84778,2003,1,\N,\N
84780,2003,1,\N,1
84783,2003,1,\N,\N
84784,2003,3,\N,\N
84790,2003,7,4,39
49233,2003,\N,\N,1
58316,2003,\N,\N,1
79413,2003,\N,\N,1
81321,2003,\N,\N,1
81501,2003,\N,\N,1
81506,2003,\N,\N,1
82937,2003,\N,\N,1
83254,2003,\N,\N,1
83501,2003,\N,\N,1
83704,2003,\N,\N,1
84004,2003,\N,\N,4
84012,2003,\N,\N,1
84017,2003,\N,1,1
84021,2003,\N,1,2
84030,2003,\N,\N,1
84042,2003,\N,1,1
84050,2003,\N,\N,2
84051,2003,\N,\N,1
84056,2003,\N,3,4
84061,2003,\N,\N,2
84087,2003,\N,\N,1
84128,2003,\N,\N,1
84129,2003,\N,\N,1
84131,2003,\N,\N,2
84147,2003,\N,\N,2
84150,2003,\N,\N,1
84157,2003,\N,\N,1
84192,2003,\N,\N,1
84310,2003,\N,\N,3
84312,2003,\N,\N,1
84319,2003,\N,\N,1
84332,2003,\N,\N,3
84409,2003,\N,\N,8
84534,2003,\N,1,2
84605,2003,\N,\N,4
84631,2003,\N,\N,3
84642,2003,\N,\N,2
84645,2003,\N,\N,1
84655,2003,\N,\N,1
84663,2003,\N,1,9
84713,2003,\N,1,4
84738,2003,\N,\N,2
84751,2003,\N,\N,1
84775,2003,\N,\N,1
85014,2003,\N,\N,1
85309,2003,\N,\N,1
87131,2003,\N,\N,1
87401,2003,\N,\N,1
90212,2003,\N,\N,1
96819,2003,\N,\N,1
84000,2003,\N,2,\N
84036,2003,\N,1,\N
84141,2003,\N,1,\N
84521,2003,\N,1,\N
84525,2003,\N,1,\N
84526,2003,\N,1,\N
84533,2003,\N,1,\N
84536,2003,\N,1,\N
84715,2003,\N,3,\N
84725,2003,\N,1,\N
